Date,Ally,Varo,SoFi,Chime
10/3/2022,3.8,0.8,-,12
10/4/2022,1.9,0,-,6.2
10/5/2022,9.9,0.9,-,17.5
10/6/2022,3.4,0,-,9.3
10/7/2022,2.7,0,-,15.3
10/8/2022,2.1,1.4,-,16.2
10/9/2022,4.1,0,-,19
10/10/2022,17.2,3.2,-,20.8
10/11/2022,6.7,3.9,-,14.6
10/12/2022,2.7,2.9,-,29.2
10/13/2022,10.6,3.3,-,13.8
10/14/2022,11.3,0,-,17.8
10/15/2022,14.6,1,-,9.4
10/16/2022,11.1,0,-,10.3
10/17/2022,9.7,0,-,16.4
10/18/2022,10.6,3.7,-,10.1
10/19/2022,8.5,0,-,9.4
10/20/2022,4,0.8,-,5.9
10/21/2022,9.7,1,-,10.3
10/22/2022,8.4,3.1,-,11.6
10/23/2022,3.4,0,-,9.7
10/24/2022,17.3,2.7,-,11.9
10/25/2022,11.2,0,-,11.4
10/26/2022,8.5,1.1,-,15.7
10/27/2022,3.8,3,-,18.1
10/28/2022,9.5,0,-,16.5
10/29/2022,3.1,1,-,13.2
10/30/2022,7,0.8,-,15.4
10/31/2022,4.5,4.6,-,9.3
11/1/2022,6.3,0,-,13
11/2/2022,6.6,3.5,-,15.7
11/3/2022,4.2,4.4,-,10
11/4/2022,3.7,0.9,-,11.1
11/5/2022,10.7,2.6,-,11.6
11/6/2022,6.4,0,-,24.3
11/7/2022,9.9,1.6,-,17.6
11/8/2022,10.3,0,-,15.8
11/9/2022,6.9,1.4,-,8.4
11/10/2022,4,1.7,-,7.7
11/11/2022,9.2,0,-,15.9
11/12/2022,9.3,1.2,-,14.5
11/13/2022,3.4,0,-,17.2
11/14/2022,10.1,5.1,-,14.8
11/15/2022,4.8,2.2,-,15.1
11/16/2022,7.9,0,-,15.5
11/17/2022,6.3,2,-,14.7
11/18/2022,6.3,0,-,14.6
11/19/2022,3.9,3.1,-,9
11/20/2022,15.8,1,-,12.6
11/21/2022,7.1,0,-,11.8
11/22/2022,3.7,1.3,-,11
11/23/2022,7.4,1.4,-,16.6
11/24/2022,9.4,1.2,-,6.7
11/25/2022,6,0,-,12.2
11/26/2022,7,0,-,8.3
11/27/2022,8.1,2.5,-,11.1
11/28/2022,5.2,0.8,-,11.2
11/29/2022,6.8,3.4,-,15.3
11/30/2022,5.3,0,-,8.3
12/1/2022,7,0,-,9
12/2/2022,11.7,2.6,-,29.9
12/3/2022,9.6,1.3,-,11.6
12/4/2022,6.6,0,-,7.4
12/5/2022,5.1,1.1,-,14.1
12/6/2022,6.5,0.9,-,20.8
12/7/2022,6.5,2.4,-,16.4
12/8/2022,4.5,4,-,8.4
12/9/2022,14.6,0,-,15.7
12/10/2022,8.2,2.1,-,17.2
12/11/2022,4.4,2,-,17.5
12/12/2022,5.4,2.2,-,21.7
12/13/2022,9.6,3.4,-,13.5
12/14/2022,4.7,0,-,15
12/15/2022,5.4,0.9,-,11
12/16/2022,8,0,-,13.1
12/17/2022,4.7,2.6,-,11.2
12/18/2022,8.2,4.7,-,14.8
12/19/2022,5.5,2.9,-,14.6
12/20/2022,8.6,3,-,7.9
12/21/2022,3.9,1.7,-,17.5
12/22/2022,5.8,2.7,-,4.2
12/23/2022,5.2,0,-,15.9
12/24/2022,9.7,3.7,-,21.1
12/25/2022,0.9,2,-,13.3
12/26/2022,5.5,0,-,17.1
12/27/2022,4.9,1.6,-,19.9
12/28/2022,8.2,0,-,13.3
12/29/2022,6.3,1.2,-,13.5
12/30/2022,5.6,2.5,-,13.7
12/31/2022,6.6,2.9,-,13.3
1/1/2023,8.1,5.8,-,15.9
1/2/2023,3.6,0,-,11.5
1/3/2023,8.6,0,-,14.2
