report_date,channel, spend 
3/23/2023,referral,3800.00
3/23/2023,snapchat, $-   
3/23/2023,tiktok, $-   
3/24/2023,apple brand search,1810.00
3/24/2023,google brand search,739.00
3/24/2023,growth-promo,375.00
3/24/2023,impact radius,1370.00
3/24/2023,influencer,148.00
3/24/2023,referral,5400.00
3/24/2023,snapchat, $-   
3/24/2023,tiktok, $-   
3/25/2023,apple brand search,1792.00
3/25/2023,google brand search,547.00
3/25/2023,growth-promo,100.00
3/25/2023,impact radius,1300.00
3/25/2023,influencer,108.00
3/25/2023,referral,2100.00
3/25/2023,snapchat, $-   
3/25/2023,tiktok, $-   
3/26/2023,apple brand search,1639.00
3/26/2023,google brand search,503.00
3/26/2023,growth-promo,200.00
3/26/2023,impact radius,1590.00
3/26/2023,influencer,42.00
3/26/2023,referral,900.00
3/26/2023,snapchat, $-   
3/26/2023,tiktok, $-   
3/27/2023,apple brand search,1870.00
3/27/2023,google brand search,423.00
3/27/2023,growth-promo,200.00
3/27/2023,impact radius,1755.00
3/27/2023,influencer,35.00
3/27/2023,referral,700.00
3/27/2023,snapchat, $-   
3/27/2023,tiktok, $-   
3/28/2023,apple brand search,3029.00
3/28/2023,google brand search,823.00
3/28/2023,growth-promo,125.00
3/28/2023,impact radius,2195.00
3/28/2023,influencer,28.00
3/28/2023,referral,1300.00
3/28/2023,snapchat, $-   
3/28/2023,tiktok, $-   
3/29/2023,apple brand search,2075.00
3/29/2023,google brand search,675.00
3/29/2023,growth-promo,300.00
3/29/2023,impact radius,2915.00
3/29/2023,influencer,47.00
3/29/2023,referral,3700.00
3/29/2023,snapchat, $-   
3/29/2023,tiktok, $-   
3/30/2023,apple brand search,2239.00
3/30/2023,google brand search,419.00
3/30/2023,growth-promo,250.00
3/30/2023,impact radius,2480.00
3/30/2023,influencer,139.00
3/30/2023,referral,4700.00
3/30/2023,snapchat, $-   
3/30/2023,tiktok, $-   
3/31/2023,apple brand search,2108.00
3/31/2023,google brand search,359.00
3/31/2023,google non-brand search,201.00
3/31/2023,growth-promo,525.00
3/31/2023,impact radius,1690.00
3/31/2023,influencer,138.00
3/31/2023,referral,4900.00
3/31/2023,snapchat, $-   
3/31/2023,tiktok, $-   
4/1/2023,apple brand search,1658.00
4/1/2023,google brand search,538.00
4/1/2023,google non-brand search,195.00
4/1/2023,growth-promo,50.00
4/1/2023,impact radius,675.00
4/1/2023,influencer,42.00
4/1/2023,referral,2500.00
4/1/2023,snapchat, $-   
4/1/2023,tiktok, $-   
4/2/2023,apple brand search,1749.00
4/2/2023,google brand search,561.00
4/2/2023,google non-brand search,608.00
4/2/2023,growth-promo,100.00
4/2/2023,impact radius,1545.00
4/2/2023,influencer,34.00
4/2/2023,referral,900.00
4/2/2023,snapchat, $-   
4/2/2023,tiktok, $-   
4/3/2023,apple brand search,2066.00
4/3/2023,google brand search,717.00
4/3/2023,google non-brand search,552.00
4/3/2023,growth-promo,125.00
4/3/2023,impact radius,1300.00
4/3/2023,influencer,97.00
4/3/2023,referral,300.00
4/3/2023,snapchat, $-   
4/3/2023,tiktok, $-   
4/4/2023,apple brand search,1984.00
4/4/2023,google brand search,726.00
4/4/2023,google non-brand search,858.00
4/4/2023,growth-promo,50.00
4/4/2023,impact radius,1935.00
4/4/2023,influencer,37.00
4/4/2023,referral,400.00
4/4/2023,snapchat, $-   
4/4/2023,tiktok, $-   
4/5/2023,apple brand search,2227.00
4/5/2023,google brand search,741.00
4/5/2023,google non-brand search,1357.00
4/5/2023,growth-promo,50.00
4/5/2023,impact radius,2015.00
4/5/2023,influencer,45.00
4/5/2023,referral,1400.00
4/5/2023,snapchat, $-   
4/5/2023,tiktok, $-   
4/6/2023,apple brand search,2449.00
4/6/2023,google brand search,804.00
4/6/2023,google non-brand search,1723.00
4/6/2023,growth-promo,200.00
4/6/2023,impact radius,1865.00
4/6/2023,influencer,89.00
4/6/2023,referral,4000.00
4/6/2023,snapchat, $-   
4/6/2023,tiktok, $-   
4/7/2023,apple brand search,2420.00
4/7/2023,google brand search,629.00
4/7/2023,google non-brand search,1258.00
4/7/2023,growth-promo,275.00
4/7/2023,impact radius,1530.00
4/7/2023,influencer,50.00
4/7/2023,referral,5500.00
4/7/2023,snapchat, $-   
4/7/2023,tiktok, $-   
4/8/2023,apple brand search,2049.00
4/8/2023,google brand search,586.00
4/8/2023,google non-brand search,1109.00
4/8/2023,growth-promo,100.00
4/8/2023,impact radius,1470.00
4/8/2023,influencer,33.00
4/8/2023,referral,3400.00
4/8/2023,snapchat, $-   
4/8/2023,tiktok, $-   
4/9/2023,apple brand search,1894.00
4/9/2023,google brand search,559.00
4/9/2023,google non-brand search,1239.00
4/9/2023,growth-promo,125.00
4/9/2023,impact radius,2090.00
4/9/2023,influencer,40.00
4/9/2023,referral,1300.00
4/9/2023,snapchat, $-   
4/9/2023,tiktok, $-   
4/10/2023,apple brand search,2567.00
4/10/2023,google brand search,601.00
4/10/2023,google non-brand search,1374.00
4/10/2023,impact radius,1405.00
4/10/2023,influencer,32.00
4/10/2023,referral,800.00
4/10/2023,snapchat, $-   
4/10/2023,tiktok, $-   
4/11/2023,apple brand search,2116.00
4/11/2023,google brand search,654.00
4/11/2023,google non-brand search,1487.00
4/11/2023,impact radius,2005.00
4/11/2023,influencer,36.00
4/11/2023,referral,700.00
4/11/2023,snapchat, $-   
4/11/2023,tiktok, $-   
4/12/2023,apple brand search,2628.00
4/12/2023,google brand search,851.00
4/12/2023,google non-brand search,2713.00
4/12/2023,growth-promo,275.00
4/12/2023,impact radius,2135.00
4/12/2023,influencer,54.00
4/12/2023,referral,2400.00
4/12/2023,snapchat, $-   
4/12/2023,tiktok, $-   
4/13/2023,apple brand search,2163.00
4/13/2023,google brand search,884.00
4/13/2023,google non-brand search,3114.00
4/13/2023,growth-promo,300.00
4/13/2023,impact radius,1710.00
4/13/2023,influencer,45.00
4/13/2023,referral,4100.00
4/13/2023,snapchat, $-   
4/13/2023,tiktok, $-   
4/14/2023,apple brand search,2278.00
4/14/2023,google brand search,818.00
4/14/2023,google non-brand search,3344.00
4/14/2023,growth-promo,700.00
4/14/2023,impact radius,1285.00
4/14/2023,influencer,42.00
4/14/2023,referral,4800.00
4/14/2023,snapchat, $-   
4/14/2023,tiktok, $-   
4/15/2023,apple brand search,2070.00
4/15/2023,google brand search,706.00
4/15/2023,google non-brand search,2763.00
4/15/2023,growth-promo,175.00
4/15/2023,impact radius,1460.00
4/15/2023,influencer,71.00
4/15/2023,referral,1900.00
4/15/2023,snapchat, $-   
4/15/2023,tiktok, $-   
4/16/2023,apple brand search,2038.00
4/16/2023,google brand search,828.00
4/16/2023,google non-brand search,2812.00
4/16/2023,growth-promo,150.00
4/16/2023,impact radius,1095.00
4/16/2023,influencer,49.00
4/16/2023,referral,800.00
4/16/2023,snapchat, $-   
4/16/2023,tiktok, $-   
4/17/2023,apple brand search,2510.00
4/17/2023,google brand search,1016.00
4/17/2023,google non-brand search,2723.00
4/17/2023,growth-promo,50.00
4/17/2023,impact radius,1195.00
4/17/2023,influencer,90.00
4/17/2023,referral,800.00
4/17/2023,snapchat, $-   
4/17/2023,tiktok, $-   
4/18/2023,apple brand search,2323.00
4/18/2023,google brand search,935.00
4/18/2023,google non-brand search,2124.00
4/18/2023,growth-promo,100.00
4/18/2023,impact radius,1980.00
4/18/2023,influencer,54.00
4/18/2023,referral,100.00
4/18/2023,snapchat, $-   
4/18/2023,tiktok,73.00
4/19/2023,apple brand search,2349.00
4/19/2023,google brand search,959.00
4/19/2023,google non-brand search,1920.00
4/19/2023,impact radius,1515.00
4/19/2023,influencer,35.00
4/19/2023,referral,500.00
4/19/2023,snapchat, $-   
4/19/2023,tiktok,583.00
4/20/2023,apple brand search,2434.00
4/20/2023,google brand search,729.00
4/20/2023,google non-brand search,838.00
4/20/2023,growth-promo,300.00
4/20/2023,impact radius,1030.00
4/20/2023,influencer,40.00
4/20/2023,referral,3600.00
4/20/2023,snapchat, $-   
4/20/2023,tiktok,511.00
4/21/2023,apple brand search,2199.00
4/21/2023,google brand search,599.00
4/21/2023,google non-brand search,766.00
4/21/2023,growth-promo,525.00
4/21/2023,impact radius,1080.00
4/21/2023,influencer,89.00
4/21/2023,referral,6600.00
4/21/2023,snapchat, $-   
4/21/2023,tiktok,625.00
4/22/2023,apple brand search,2204.00
4/22/2023,google brand search,479.00
4/22/2023,google non-brand search,517.00
4/22/2023,growth-promo,200.00
4/22/2023,impact radius,1030.00
4/22/2023,influencer,87.00
4/22/2023,referral,2100.00
4/22/2023,snapchat, $-   
4/22/2023,tiktok,625.00
4/23/2023,apple brand search,2235.00
4/23/2023,google brand search,638.00
4/23/2023,google non-brand search,2091.00
4/23/2023,growth-promo,50.00
4/23/2023,impact radius,1105.00
4/23/2023,influencer,15.00
4/23/2023,referral,1700.00
4/23/2023,snapchat, $-   
4/23/2023,tiktok,502.00
4/24/2023,apple brand search,2353.00
4/24/2023,google brand search,712.00
4/24/2023,google non-brand search,1491.00
4/24/2023,growth-promo,50.00
4/24/2023,impact radius,1180.00
4/24/2023,influencer,35.00
4/24/2023,referral,400.00
4/24/2023,snapchat, $-   
4/24/2023,tiktok,124.00
4/25/2023,apple brand search,2435.00
4/25/2023,google brand search,712.00
4/25/2023,google non-brand search,1722.00
4/25/2023,impact radius,2045.00
4/25/2023,influencer,33.00
4/25/2023,referral,300.00
4/25/2023,snapchat, $-   
4/25/2023,tiktok, $-   
4/26/2023,apple brand search,2374.00
4/26/2023,google brand search,1170.00
4/26/2023,google non-brand search,1586.00
4/26/2023,growth-promo,50.00
4/26/2023,impact radius,2355.00
4/26/2023,influencer,90.00
4/26/2023,referral,2800.00
4/26/2023,snapchat, $-   
4/26/2023,tiktok, $-   
4/27/2023,apple brand search,2333.00
4/27/2023,google brand search,781.00
4/27/2023,google non-brand search,1280.00
4/27/2023,growth-promo,250.00
4/27/2023,impact radius,1520.00
4/27/2023,influencer,41.00
4/27/2023,referral,4050.00
4/27/2023,snapchat, $-   
4/27/2023,tiktok, $-   
4/28/2023,apple brand search,2141.00
4/28/2023,facebook,494.00
4/28/2023,google brand search,810.00
4/28/2023,google non-brand search,1715.00
4/28/2023,growth-promo,425.00
4/28/2023,impact radius,930.00
4/28/2023,influencer,45.00
4/28/2023,referral,6600.00
4/28/2023,snapchat, $-   
4/28/2023,tiktok, $-   
4/29/2023,apple brand search,2209.00
4/29/2023,facebook,181.00
4/29/2023,google brand search,562.00
4/29/2023,google non-brand search,770.00
4/29/2023,growth-promo,150.00
4/29/2023,impact radius,1145.00
4/29/2023,influencer,34.00
4/29/2023,referral,3800.00
4/29/2023,snapchat, $-   
4/29/2023,tiktok, $-   
4/30/2023,apple brand search,2333.00
4/30/2023,google brand search,435.00
4/30/2023,google non-brand search,397.00
4/30/2023,growth-promo,50.00
4/30/2023,impact radius,920.00
4/30/2023,influencer,41.00
4/30/2023,referral,1500.00
4/30/2023,snapchat, $-   
4/30/2023,tiktok, $-   
5/1/2023,apple brand search,2306.00
5/1/2023,facebook,585.00
5/1/2023,google brand search,666.00
5/1/2023,google non-brand search,1719.00
5/1/2023,growth-promo,50.00
5/1/2023,impact radius,1745.00
5/1/2023,influencer,44.00
5/1/2023,referral,900.00
5/1/2023,snapchat, $-   
5/1/2023,tiktok, $-   
5/2/2023,apple brand search,2118.00
5/2/2023,facebook,573.00
5/2/2023,google brand search,681.00
5/2/2023,google non-brand search,1829.00
5/2/2023,growth-promo,100.00
5/2/2023,impact radius,1195.00
5/2/2023,influencer,37.00
5/2/2023,referral,1150.00
5/2/2023,snapchat, $-   
5/2/2023,tiktok, $-   
5/3/2023,apple brand search,2184.00
5/3/2023,facebook,589.00
5/3/2023,google brand search,774.00
5/3/2023,google non-brand search,2159.00
5/3/2023,growth-promo,200.00
5/3/2023,impact radius,2140.00
5/3/2023,influencer,28.00
5/3/2023,referral,800.00
5/3/2023,snapchat, $-   
5/3/2023,tiktok, $-   
5/4/2023,apple brand search,2158.00
5/4/2023,facebook,587.00
5/4/2023,google brand search,777.00
5/4/2023,google non-brand search,1577.00
5/4/2023,growth-promo,300.00
5/4/2023,impact radius,865.00
5/4/2023,influencer,78.00
5/4/2023,referral,3600.00
5/4/2023,snapchat, $-   
5/4/2023,tiktok, $-   
5/5/2023,apple brand search,2193.00
5/5/2023,facebook,577.00
5/5/2023,google brand search,728.00
5/5/2023,google non-brand search,1941.00
5/5/2023,growth-promo,300.00
5/5/2023,impact radius,1110.00
5/5/2023,influencer,83.00
5/5/2023,referral,5900.00
5/5/2023,snapchat, $-   
5/5/2023,tiktok, $-   
5/6/2023,apple brand search,2219.00
5/6/2023,facebook,590.00
5/6/2023,google brand search,712.00
5/6/2023,google non-brand search,2405.00
5/6/2023,growth-promo,150.00
5/6/2023,impact radius,1130.00
5/6/2023,influencer,36.00
5/6/2023,referral,1400.00
5/6/2023,snapchat, $-   
5/6/2023,tiktok, $-   
5/7/2023,apple brand search,1982.00
5/7/2023,facebook,530.00
5/7/2023,google brand search,675.00
5/7/2023,google non-brand search,2455.00
5/7/2023,growth-promo,100.00
5/7/2023,impact radius,855.00
5/7/2023,influencer,44.00
5/7/2023,referral,1700.00
5/7/2023,snapchat, $-   
5/7/2023,tiktok, $-   
5/8/2023,apple brand search,2296.00
5/8/2023,facebook,516.00
5/8/2023,google brand search,756.00
5/8/2023,google non-brand search,2784.00
5/8/2023,growth-promo,50.00
5/8/2023,impact radius,1260.00
5/8/2023,influencer,36.00
5/8/2023,referral,400.00
5/8/2023,snapchat, $-   
5/8/2023,tiktok, $-   
5/9/2023,apple brand search,2232.00
5/9/2023,facebook,185.00
5/9/2023,google brand search,877.00
5/9/2023,google non-brand search,2711.00
5/9/2023,impact radius,2430.00
5/9/2023,influencer,32.00
5/9/2023,referral,700.00
5/9/2023,snapchat, $-   
5/9/2023,tiktok, $-   
5/10/2023,apple brand search,2241.00
5/10/2023,google brand search,763.00
5/10/2023,google non-brand search,2479.00
5/10/2023,growth-promo,150.00
5/10/2023,impact radius,2245.00
5/10/2023,influencer,32.00
5/10/2023,referral,2400.00
5/10/2023,snapchat, $-   
5/10/2023,tiktok, $-   
5/11/2023,apple brand search,2015.00
5/11/2023,google brand search,783.00
5/11/2023,google non-brand search,2999.00
5/11/2023,growth-promo,200.00
5/11/2023,impact radius,1850.00
5/11/2023,influencer,41.00
5/11/2023,referral,5450.00
5/11/2023,snapchat, $-   
5/11/2023,tiktok, $-   
5/12/2023,apple brand search,2121.00
5/12/2023,google brand search,792.00
5/12/2023,google non-brand search,2691.00
5/12/2023,growth-promo,500.00
5/12/2023,impact radius,715.00
5/12/2023,influencer,23.00
5/12/2023,referral,6050.00
5/12/2023,snapchat, $-   
5/12/2023,tiktok, $-   
5/13/2023,apple brand search,1830.00
5/13/2023,google brand search,686.00
5/13/2023,google non-brand search,2082.00
5/13/2023,growth-promo,100.00
5/13/2023,impact radius,435.00
5/13/2023,influencer,20.00
5/13/2023,referral,2050.00
